informal,formal
، تخت فرمانروايي انگلستان متحد پشت يک رهبر .,تخت فرمانروايي انگلستان متحد پشت يک رهبر.
گويا اون داره تو را براي شخص ديگه يي جور ميکنه .,گويا آن دارد شما را براي شخص ديگری جور مي‌کند.
اون از طرف مارک فرمانرواي کورنوال تو را تصاحب کرده .,آن از طرف مارک فرمانرواي کورنوال شما را تصاحب کرده است.
بذاريد کنار دريا تحويل بگيرنش .,بگذاريد کنار دريا تحويل آن را بگيرند.
بعد از عروسي . من ايزولد را انکار ميکنم .,بعد از عروسي. من ايزولد را انکار مي‌کنم.
شاهزاده ميخواد با تو صحبت کنه .,شاهزاده مي‌خواهد با شما صحبت کند.
تو زنديگت را به خطر انداختي که . منو به مرد ديگه يي بدي .,شما زندگیتان را به خطر انداختيد که. من را به مرد ديگری بدهيد.
تو گفتي اسمت براني بود .,شما گفتيد اسمتان براني بود.
چرا گفتي اسمت برانيه .,چرا گفتيد اسمتان براني است.
خدايا ، چه کاري بود من کردم .,خدايا، چه کاري بود من کردم.
تو جلوشو ميگيري . يک چيزي بگو .,شما جلویشان را مي‌گيريد. يک چيزي بگویید.
نميتونم . من تو را به اسم پادشاهم تصاحب کردم .,نمي‌توانم. من شما را به اسم پادشاه هم تصاحب کرده‌ام.
اما من متعلق به تو هستم . تو منو لمس کردي و منم تو را . اهميتي نداره .,اما من متعلق به شما هستم. شما من را لمس کرديد و من هم شما را. اهميتي ندارد.
تنها چيز همون مسائله ، تريستان . منو ول کن يک جايي ميرم .,تنها چيز همان مسائله، تريستان. من را ول کنید يک جايي مي‌روم.
ازدواجت به صدها سال خونريزي خاتمه ميده ازدواجم با يکي ديگه .,ازدواجتان به صدها سال خونريزي خاتمه مي‌دهد ازدواج من با يکي ديگر.
ايزولد . ما با همين زندگي ميکنيم .,ايزولد. ما با همين زندگي مي‌کنيم.
اگه بي ريخت باشه چي يا اينکه واقعا منو نخواد .,اگر بي ريخت باشد چه يا اينکه واقعا من را نخواهد.
اون تو را ميخواد برادر . تو خيلي با ارزشي .,آن شما را مي‌خواهد برادر. شما بسیار با ارزش هستید.
از اين خوشحالتر نميتونستم باشم .,از اين خوشحال‌تر نمي‌توانستم باشم.
اگه اين چيزا جور ديگه يي رقم ميخورد .,اگر اين چيزها جور ديگری رقم مي‌خورد.
اگه ما يک جايي بدون هيچ تکليفي زندگي ميکرديم ميخواستي با من باشي .,اگر ما يک جايي بدون هيچ تکليفي زندگي مي‌کرديم مي‌خواستيد با من باشيد.
تو دور از وطنت هستي . من هنوز غريبه هستم من درک ميکنم .,شما دور از وطنتان هستيد. من هنوز غريبه هستم من درک مي‌کنم.
ولي تو نبايد از من بترسي . باشه .,اما شما نبايد از من بترسيد. باشد.
تنها آرزوم اينه که تو را خوشحالت کنم .,تنها آرزوی من اين است که شما را خوشحال کنم.
اين واقعيت که يک دست ندارم .,اين واقعيت که يک دست ندارم.
خيلي قشنگه . خودت درست کرديش .,بسیار قشنگ است. خودتان درست کردید آن را.
تريستان ممکنه يک چند وقتي اينجا بمونم .,تريستان ممکن است يک چند وقتي اينجا بمانم.
قبلا اونو اينجوري نديده بودم .,قبلا آن را اينگونه نديده بودم.
شايد يکي هم سن و سال خودش بايد باهاش صحبت کنه .,شايد يکي هم سن و سال خودشان بايد با ایشان صحبت کند.
مارک و اديث ميگن تو دلسرد شدي .,مارک و اديث مي‌گویند شما دلسرد شديد.
اونا نگران تو هستن . منم همينطور من ميتونم بگم .,آنها نگران شما هستند. منم همانطور من مي‌توانم بگویم .
خندون تو بازار دستهاشو نگه داشته داشته .,خندان در بازار دست‌هایشان را نگه داشته است.
اون شوهرمه . من بخاطر ميارم پادشاهي متعلق به کيه و . من چرا اينجا هستم بله . خب ، من بايد اعتراف کنم .,آن شوهرم است. من بخاطر مي‌آورم پادشاهي متعلق به کي است و. من چرا اينجا هستم بله. خب، من بايد اعتراف کنم.
من فکرکردم تو ممکنه مشکلات کوچيکي در . انجام دادن وظايفت داشته باشي .,من فکرکردم شما ممکن است مشکلات کوچيکي در. انجام دادن وظايف تان داشته باشيد.
من اجازه ندارم فقط يک لحظه بدون غم و غصه باشم .,من اجازه ندارم فقط يک لحظه بدون غم و غصه باشم.
ما داريم با همين زندگي ميکنيم ، تريستان .,ما داريم با همين زندگي مي کنيم، تريستان.
من با زجر زندگي ميکنم فکر اين لحظات .,من با زجر زندگي مي‌کنم فکر اين لحظات.
هر نگاهي که اون بتو ميندازه . منو رنجور و رنجورتر ميکنه .,هر نگاهي که آن به شما مي‌اندازد. من را رنجور و رنجورتر مي‌کند.
آتيشي تو وجودم هست . من حريق را احساس ميکنم يک . گناهي هم هست . من نميتونم از دست هيچکدومشون خلاص بشم .,آتيشي در وجودم است. من حريق را احساس مي‌کنم يک. گناهي هم هست. من نمي‌توانم از دست هيچکدامشان خلاص بشوم.
بدون اينکه منو ببينن ميتونم برم اونجا .,بدون اينکه من را ببينند مي‌توانم بروم آنجا.
و دوست دارم هر وقتي برم اونجا . براي اينکه با تو باشم .,و دوست دارم هر وقتي بروم آنجا. براي اينکه با شما باشم.
خوش اومديد فرمانرواها رتگار و اريک .,خوش آمديد فرمانرواها رتگار و اريک.
اينکه تو شاه ميشي و دختر اون ملکه .,اينکه شما شاه می‌شوید و دختر آن ملکه.
اين معني را ميده که دونکاد براي تاجگذاري مياد اينجا .,اين معني را مي‌دهد که دونکاد براي تاجگذاري مي‌آید اينجا.
مياد ، ماه کامل شب 14 بعدي . همه همراهي ميکنن .,مي آید، ماه کامل شب 14 بعدي. همه همراهي مي‌کنند.
تو يک ماه اتفاقات زيادي ميتونه رخ بده .,دريک ماه اتفاقات زيادي می‌تواند رخ بدهد.
و براي بي ثباتي معين سرزمين جديدمون .,و براي بي ثباتي معين سرزمين جديدمان.
خواهرم يک فرد لايق را براي رهبري شما به بار آورده .,خواهرم يک فرد لايق را براي رهبري شما به بار آورده است.
اون يک مرد جادوييه درنده در نبرد .,آن يک مرد جادويي است درنده در نبرد است.
کسيکه ياد گرفته قلبش را با مغزش همراه کنه .,کسي که ياد گرفته قلب خودش را با مغزش همراه کند.
اين مقام را به تو ميدهم تريستان .,اين مقام را به شما مي‌دهیم تريستان.
براي اولين بار از زمان روميها تا حالا .,براي اولين بار از زمان رومي ها تا حالا.
من نميتونم وزير تو باشم . ملوت بايد باشه . اون خويشاوند تو هستش .,من نمي‌توانم وزير شما باشم. ملوت بايد باشد. آن خويشاوند شما است.
به علاوه ، من ميخوام براي سياحت به شمال برم .,به علاوه، من مي‌خواهم براي سياحت به شمال بروم.
تو مدت زيادي در قلعه بي تفاوت نيستي . و حالا تو نميخواي وزير من باشي .,در مدت بسیاری در قلعه بي تفاوت نيستيد. و حالا شما نمي‌خواهيد وزير من باشيد.
و آسايش را تو خونه ي خودت پيدا نميکني اين ديوارهاي سنگي که خودت تو ساختنش کمک کردي .,و آسايش را در خانه خودتان پيدا نمي‌کنيد اين ديوارهاي سنگي که خودتان در ساختن آن کمک کرديد.
به نظرم اين ديوارها يک زندانه چرا .,به نظرم اين ديوارها يک زندان است چرا.
چيزهايي که ميخواستم بي معني به نظر ميان .,چيزهايي که مي‌خواستم بي معني به نظر مي‌آیند.
از وقتي يک پسر بچه بودي .,از وقتي يک پسر بچه بوديد.
همه جوره براي من فداکاري کردي همه بخاطر يک آرزو .,همه طور براي من فداکاري کرديد همه به خاطر يک آرزو.
طبيعيه که احساس بعضي نداشتنها را داري .,طبيعي است که احساس بعضي نداشتن ها را داريد.
اگه مسئله اي نيست ، اگر تو ميخواي که وزير باشي . تو وزيري .,اگر مسئله اي نيست، اگر شما مي‌خواهيد که وزير باشيد. شما وزير هستید.
من فقط درصورتيکه تو وزيرم باشي پادشاه ميشم .,من فقط درصورتي که شما وزير من باشيد پادشاه مي‌شوم.
اگه ميتونستم با ملايمت بيشتري منصوب کرده بودم . پس من وزيرتم .,اگر مي‌توانستم با ملايمت بيشتری منصوب کرده بودم. پس من وزير شما هستم.
شايد وقتشه که يک همسري اختيار کني نه .,شايد وقت آن است که يک همسری اختيار کنيد نه.
تو نميتوني تا ابد تنهايي زندگي کني . من ميتونم .,شما نمي‌توانيد تا ابد تنهايي زندگي کنيد. من مي‌توانم.
من داشتم سعي ميکردم به تريستان در مورد . اهميت عشق توضيح بدم .,من داشتم سعي مي‌کردم به تريستان در مورد. اهميت عشق توضيح بدهم.
به نظر مياد ميخواد بدون اون زندگي کنه چرا .,به نظر مي‌آید مي‌خواهد بدون اوزندگي کند چرا.
چيزهاي ديگه هم تو زندگي هستند . مثل خدمت و احترام .,چيزهایي ديگر هم در زندگي هستند. مثل خدمت و احترام.
اينا زندگي نميشن تريستان . اونا يک زندگي تو خالين .,اين ها زندگي نمي‌شوند تريستان. آن ها يک زندگي تو خالي هستند.
و آدماي پوچ اگر به آخر خط برسن .,و آدم های پوچ اگر به آخر خط برسند.
همشون روزها و روزها را . بدون عشق سپري ميکنن .,همشان روزها و روزها را. بدون عشق سپري مي‌کنند.
ناديده بگيريش ، چنان رنجي متحمل ميشي که . نميتوني تصورش را کني .,ناديده بگيريد، چنان رنجي متحمل می‌شوید که. نمي‌توانيد تصورش را کنيد.
پس بدون اون زياد زنده نميمونم .,پس بدون آن زياد زنده نمي‌مانیم.
جنگجوها تو قرص کامل ماه ميرن .,جنگجوها در قرص کامل ماه مي‌روند.
يه رسم قديميه . من امشب تو را ندارم .,يک رسم قديمي است. من امشب شما را ندارم.
قبل از من چند نفر را دوست داشتي .,قبل از من چند نفر را دوست داشتيد.
تريستان ، لازمه باهات صحبت کنم باشه .,تريستان، لازم است با شما صحبت کنم باشد.
ما هنوز يک تاجگذاري نداشته ايم . مارک و ويکترد هم از پيش از اين با هم اختلاف داشتند .,ما هنوز يک تاجگذاري نداشته ايم. مارک و ويکترد هم از پيش از اين با هم اختلاف داشتند.
حالا اون سنت شکني ميکنه و با ناميدن تو به عنوان وزير خودش . اونا را ميترسونه .,حالا آن سنت شکني مي‌کند و با ناميدن شما به عنوان وزير خود آن. آنها را مي‌ترساند.
من سعي کردم اونو قانعش کنم . که تو بهتري .,من سعي کردم آن را قانعش کنم. که شما بهترین هستید.
بله ، خب صلح ميتونه درست مثل جنگ . خيانت آميز باشه .,بله، خب صلح مي‌تواند درست مثل جنگ. خيانت آميز باشد.
الان بايد بيشتر از هميشه توجهمون به کورنوال باشه . ملوت .,الان بايد بيشتر از هميشه توجه‌مان به کورنوال باشد. ملوت.
ملوت متاسفم اون تو را انتخاب نکرده . منو انتخاب کرده .,ملوت متاسفم آن شما را انتخاب نکرده است. من را انتخاب کرده است.
دايي ، به نظر نميرسه درک کني که چي کار کردي اينجا .,دايي، به نظر نمي‌رسد درک کنيد که چه کار کرديد اينجا.
بابا پدرمو در آوردي با اين ادا بازيهات چرا نتونم .,بابا پدرم را در آورديد با اين ادا بازي‌هایتان چرا نتوانم.
فک ميکني چي به سرشون اومد .,فک مي‌کنيد چه به سرشان آمد.
از طریق سایت فیلیمو و یا کافه بازار دانلود کنید,از طریق سایت فیلیمو و یا کافه بازار دانلود کنید.
از سایت و یا کافه بازار میتونید دانلود کنید,از سایت و یا کافه بازار می توانید دانلود کنید.
از کجا میتونم فیلمو تهیه کنم؟,از کجا می توانم فیلم را دانلود کنم؟
سلام من اشتراک روزانه داشتم و الان با اینکه شارژ دارم زده شارژ سیم کارت ناکافی. میشه بگید چطوری درستش کنم؟؟!,سلام من اشتراک روزانه داشتم و الان با وجود آنکه شارژ دارم زده شده شارژ سیم کارت ناکافی است. می شود بگویید چگونه درستش کنم؟!؟
فیلمای ترکی عالین مخصوصا داستان ما,فیلم های ترکی واقعا عالی هستند مخصوصا داستان ما
هر دقیقش اشک آدمو درمیارا,هر دقیقه اش اشک آدم را در می آورد
بازم فیلم ترکی بزارین خیلی از ایرانیا بهترن,باز هم فیلم ترکی بگذارید خیلی از ایرانی ها بهتر هستند.
فیلیمو دایرکتم خیلی مهمه لطفا بخونیدش,فیلیمو دایرکتِ من خیلی مهم است لطفا بخوانیدَش(آن را بخوانید)
خیلی قشنگ بود حتما ببینید,خیلی قشنگ بود. حتما ببینید.
ببخشید میشه جواب منو بدین؟فیلیمو سایته؟اپلیکیشنه؟چیه,ببخشید می‌شود جواب من را بدهید؟ فیلیمو سایت است؟ اپلیکیشن است؟ چی است؟
چه جوری بابد دانلود کنم,چگونه باید دانلود کنم؟
فیلم ال کامینو رو دوبله کنید لطفا,فیلم ال کامینو را دوبله کنید لطفا
یه اپ توگوشی میتونی بری داخلش فیلم ببینی,یک اپلیکیشن در گوشی می توانید بروید داخلش فیلم ببینید
خسته نباشی. فصل شش لیست سیاه بصورت دوبله قرار خواهد گرفت در آینده ای نزدیک؟,خسته نباشید. فصل شش لیست سیاه به صورت دوبله قرار خواهد گرفت در آینده ای نزدیک؟
فیلیمومیشه سریال کره ای شعله های جاه طلبی روبزاری توسایت؟؟,فیلیمو میشود سریال کره ای شعله های جاه طلبی را بگذاری در سایت؟؟
واقعا قشنگ بود ادامه حمله به تایتان چی شد سگهای ولگرد بانگو رو اشتباه گذاشتین.قسمتها جا به جا شده وایولت اورگاردن چی شد؟چرا ول کردین ادامش رو؟عشق مرگ روبات چی شد ادامش؟,واقعا قشنگ بود. ادامۀ حمله به تایتان چه شد؟ سگ های ولگرد بانگو را اشتباه گذاشته اید. قسمت ها جا به جا شده است. وایولت اورگاردن چه شد؟ چرا ول کرده اید ادامه اش را؟ عشق مرگ روبات چه شد ادامه اش؟
ایده جدید و جالبی بود ولی بعضی از فیلمها باید قبول کنن که بعد از عوض شدن اوضاع محکوم به تصحیح و سپس تکرارند,ایدۀ جالبی بود ولی بعضی از فیلم ها باید قبول کنند که بعد از عوض شدن اوضاع محکوم به تصحیح و سپس تکرار هستند.
"خيلي ايده خوب و كار قوي بود 
  و تمام بازيگر ها نقش هاشون رو خيلي خوب بازي كردند و در تحليل و نقد هم خيلي حرف ها براي گفتن داشت ،،،عالي بود","خيلي ايده خوب و كار قوي بود 
  و تمام بازيگر ها نقش هایشان را خيلي خوب بازي كردند و در تحليل و نقد هم خيلي حرف ها براي گفتن داشت ،،،عالي بود"
باحال بود مخصوصا اهنگمیخوند ، میگفت ماه منیر شدی از موقعی که صاحب نشون شدی,باحال بود مخصوصا آهنگ می خواند، می گفت ماه منیر شده ای از موقعی که صاحب نشون شده ای
لطفا یه ترتیبی بدید که وقتی یک فیلم زبان اصلی را دوبله می کنید کماکان امکان استفاده از زبان اصلی را برای کاربران حفظ کنید,لطفا یک ترتیبی بدهید که وقتی یک فیلم زبان اصلی را دوبله می کنید کماکان امکان استفاده از زبان اصلی را برای کاربران حفظ کنید
عالی بود خیلی متفاوت و زیبا کلی انتظارشو کشیدم تا بیاد,عالی بود خیلی متفاوت و زیبا کلی انتظارش را کشیدم تا بیاید
پس کی با اینترنت ایرانسل رایگان میشه,پس کی با اینترنت ایرانسل رایگان می شود
چطوری ببینم فقط تیکه است فیلم .فیلم کاملشو از کجا ببینم,چطوری ببینم فقط تیکه است فیلم. فیلم کاملش را از کجا ببینم
سایت فیلیمو. یا اپلیکیشن فیلیمو رو نصب کنی.. باید اشتراک بخری ولی,سایت فیلیمو. یا اپلیکیشن فیلیمو را نصب کنید..باید اشتراک بخرید ولی
اصلا خوب نبود از اولش با قاب عکس ها صحبت کرد تا آ خرش,اصلا خوب نبود از اولَش با قاب عکس ها صحبت کرد تا آخرَش
سگهای ولگرد درسته..قسمت دومش دقیقا از همونجا شردع میشه و به نظر من اصلا حذابیت قسمت یک رو تداره.ویولت هم تموم شد سریالش...همون ده دوازده قسمت بود,سگ های ولگرد درست است..قسمت دومَش دقیقا از همانجا شروع می شود و به نظر من اصلا جذابیت قسمت یک را ندارد. ویولت هم تموم شد سریالش..همان ده دوازده قسمت بود.
فیلمش خیلی خووووب بود,فیلمَش خیلی خوب بود
مستند سرخیو راموس را نمیگذارید؟,مستند سرخیو راموس را نمی‌گذارید؟
خيلي فيلم خوبي خيلي لذت بردم آفرين به اين كارگردان,خيلي فيلم خوبي خيلي لذت بردم آفرين به اين كارگردان
پیگیری میشه و اطلاع رسانی میشه حتما,پیگیری میشود و اطلاع رسانی میشودحتما
این قابلیت برای دوبله های جدید در دسترس هست,این قابلیت برای دوبله های جدید در دسترس هست
رایگان شدن حجم مصرفی نیازمند توافق دو طرفه هستش که امیدواریم زودتر این اتفاق بیفته حتما,رایگان شدن حجم مصرفی نیازمند توافق دو طرفه هست که امیدوار هستیم زودتر این اتفاق بیافتد حتما
از طریق سایت و یا اپلیکیشن فیلیمو میتونید استفاده کنید,از طریق سایت و یا اپلیکیشن فیلیمو میتوانید استفاده کنید
گندترين و بدرد نخورترين فيلم كه تو سينما ديدم,گندترين و بدرد نخورترين فيلم كه در سينما ديده ام
یکی از فیلم های آشغالی که دیدم,یکی از فیلم های آشغالی که دیده ام
مادرت ناراحت ميشه بفهمه با بابات اينطوري حرف ميزنيا بچه جان,مادرت ناراحت مي شود بفهمد با بابایت اين طوري حرف مي زني بچه جان
خیلی فیلمه مسخره ایه . حیف از این همه بازیگر,خیلی فیلمه مسخره ای است. حیف از این همه بازیگر
افتضاح ترين فيلم تاريخ,افتضاح ترين فيلم تاريخ
لطفا فیلم سینمایی( ترانزیت) با بازی استاد فرامرز قریبیان عزیز و فیلم سینمایی(از بلور خون) به کارگردانی آقای جمشید عندلیبی.. و فیلم سینمایی (نفس عمیق) به کارگردانی آقای پرویز شهبازی را هم برای پخش قرار بدین..مرسی تشکر ..موفق,لطفا فیلم سینمایی( ترانزیت) با بازی استاد فرامرز قریبیان عزیز و فیلم سینمایی(از بلور خون) به کارگردانی آقای جمشید عندلیبی.. و فیلم سینمایی (نفس عمیق) به کارگردانی آقای پرویز شهبازی را هم برای پخش قرار بدهید..مرسی تشکر ..موفق
این چی بود الان؟از پشت مانیتور شلیک کرد به طرف؟وات د فاز,این چی بود الان؟ از پشت مانیتور شلیک کرد به طرف؟وات د فاز
دیروز نگاه کردم و ده روز تا اتمام شارژم مونده بود ولی الان نوشته اشتراک ندارید و تهیه کنید!!!!! تکلیف اون ده روزم‌ چی میشه؟؟؟,دیروز نگاه کردم و ده روز تا اتمام شارژم مانده بود اما الان نوشته است اشتراک ندارید و تهیه کنید! تکلیف آن ده روزم‌ چه می‌شود؟
فیلم قشنگی بود. متفاوت تر از فیلم های دیگه بود که جذابش کرده بود,فیلم قشنگی بود. متفاوت تر از فیلم‌های دیگر بود که جذابش کرده بود
عالی بود این فیلم البته برای گرفتن مجوز جهت‌گیری هم داشت ولی اکثرا خلاف واقع نبود,عالی بود این فیلم البته برای گرفتن مجوز جهت‌گیری هم داشت ولی اکثرا خلاف واقع نبود
فیلم عالی بود واقعا خیلی خوشم اومد .,فیلم عالی بود واقعا خیلی خوشم آمد.
عالی بود این فیلم آفرین ب نویسنده و کارگردان,عالی بود این فیلم آفرین به نویسنده و کارگردان
با پشتیبانی تماس بگیرید تا براتون پیگیری کنن ۰۲۱۷۴۵۲۴,با پشتیبانی تماس بگیرید تا برایتان پیگیری کنند ۰۲۱۷۴۵۲۴
"وقتی مشکلی پیش می‌آید، دوستان کنار هم جمع می‌شوند
  داستان پسرکی یتیم که دوستانش در گروگان هیولاها هستند و در تلاش است تا آنها را از دست این هیولاها نجات دهد...","وقتی مشکلی پیش می‌آید، دوستان کنار هم جمع می‌شوند
  داستان پسرکی یتیم که دوستانش در گروگان هیولاها هستند و در تلاش است تا آنها را از دست این هیولاها نجات دهد..."
از فیلمای اکشنم دوبله کنید لطفا,از فیلم های اکشن هم دوبله کنید لطفا
فیلم it2. را چرا نمیزارید,فیلم it2. را چرا نمی‌گذارید
کارتن جذابی هستی من که دوست داشتم,کارتون جذابی هست من که دوست داشتم.
چرا سریالهای کره ای که گذاشتید رو آپدیت نمیکنید ؟! یک ماه بیشتر شده,چرا سریال های کره ای که گذاشتید را آپدیت نمی کنید ؟! یک ماه بیشتر شده !
این ک خیلی قدیمیه,این که خیلی قدیمی است
چنتا سریال خوب معرفی میکنید ؟,چند تا سریال خوب معرفی می کنید ؟
فيلم san andreas چرا تو فيليمو نيست ؟؟؟,فيلم san andreas چرا در فيليمو نيست ؟؟؟
فیلمش برا ۲سال پیش,فیلمش برای ۲سال پیش است
با پشتیبانی تماس بگیرید تا براتون پیگیری کنن ۰۲۱۷۴۵۲۴,با پشتیبانی تماس بگیرید تا برایتان پیگیری کنند ۰۲۱۷۴۵۲۴
سریال هتل دل لونا ، گوهه ریونگ سریال دکتر جاناتان و استرنج,سریال هتل دل لونا ، گوهه ریونگ سریال دکتر جاناتان و استرنج
والا سریال کره ای اگر دوست دارید آقای افتابی ،نسل خورشید ، هتل دل لونا ، اتاق شماره ۹،عاشقان ماه ، سریال های غیر کره ای مثل تئوری بیگ بنگ ، دکتر خوب,والا سریال کره ای اگر دوست دارید آقای افتابی، نسل خورشید، هتل دل لونا، اتاق شماره ۹، عاشقان ماه، سریال های غیر کره ای مثل تئوری بیگ بنگ، دکتر خوب
ی جوری میگین چه سریالی ؟؟ من شک کردم نکنه آپدیت کردید بازم نگاه کردم دیدم نخیر !! یعنی فراموش می کنید ؟!,یک طوری می‌گویید چه سریالی؟ من شک کردم نکند آپدیت کرده اید باز هم نگاه کردم دیدم نخیر! یعنی فراموش می کنید؟!
اسم سریال کره ای خوب میخاستم,اسم سریال کره ای خوب می خواستم
لطفا فیلم it2 را دوبله بزارید,لطفا فیلم it2 را دوبله بگذارید
این که خیلی خیلی قدیمیه!!,این که خیلی خیلی قدیمی است!!
قشنگه . دوسال پیش دیدم,قشنگ است. دوسال پیش دیدم
اینو می گفتم،خیلی باحاله,این را می گفتم،خیلی باحال است
وای من عاشق این کارتونم,وای من عاشق این کارتون هستم
زبان اصلیش رو هم تو سایت دارید؟,زبان اصلی اش را هم در سایت دارید؟
چرا دوبله کارتنا انقدر مزخرف شده؟با لهجه ترکی دوبله میکنن واقعا مسخرس خوب بچه ها بخوان ببینن که متوجه نمیشن,چرا دوبله کارتون‌ها انقدر مزخرف شده است؟ با لهجه ترکی دوبله می‌کنند واقعا مسخره است خوب بچه ها بخواهند ببینند که متوجه نمی‌شوند
"ایرانسلی ها با فیلیمو فیلم ببینید و شارژ ببرید 
  ۴۶۰۰۰ شارژ ۲۰۰۰ تومانی ایرانسل تاکنون برای کاربران ارسال شده است 
  تمام کاربران عزیزی که از اینترنت ایرانسل استفاده می‌کنند، می‌توانند با تماشای بیش‌از ۹۰ دقیقه فیلم یا سریال در فیلیمو در قرعه‌کشی روزانه ۱۰۰۰ عدد شارژ هدیه ۲۰۰۰ تومانی ایرانسل شرکت کنند
  تا پایان مهرماه ۹۰ دقیقه فیلیمو ببین، شارژ ۲۰۰۰ تومانی جایزه بگیر","ایرانسلی ها با فیلیمو فیلم ببینید و شارژ ببرید
  ۴۶۰۰۰ شارژ ۲۰۰۰ تومانی ایرانسل تاکنون برای کاربران ارسال شده است 
  تمام کاربران عزیزی که از اینترنت ایرانسل استفاده می‌کنند، می‌توانند با تماشای بیش‌از ۹۰ دقیقه فیلم یا سریال در فیلیمو در قرعه‌کشی روزانه ۱۰۰۰ عدد شارژ هدیه ۲۰۰۰ تومانی ایرانسل شرکت کنند
  تا پایان مهرماه ۹۰ دقیقه فیلیمو ببین، شارژ ۲۰۰۰ تومانی جایزه بگیر"
سلام می شه بگید چرا کلا فیلمهای خارجی رو از تو فیلیمو برداشتید. ؟ هر چی میبینم فقط فیلم ایرانی و سریال ایرانی هست,سلام می شود بگویید چرا درکل فیلم های خارجی را از فیلیمو برداشته اید.؟ هر چه می‌بینم فقط فیلم ایرانی و سریال ایرانی است
لطفا خودتون یک بار چک کنید چون من که وارد میشم هیچ‌کدام از فیلمها نیست,لطفا خودتان یک بار چک کنید چون من که وارد می‌شوم هیچ‌کدام از فیلم ها نیست
سلام میشه فیلم اقلیما و دعوت و آنچه مردان درباره زنان میدانند را بزارید,سلام می شود فیلم اقلیما و دعوت و آنچه مردان درباره زنان می دانند را بگذارید
چرا من با ایرانسل فیلم میبینم ولی میگه تا پونزده دیقه باید رایگان ببینید؟,چرا من با ایرانسل فیلم می بینم ولی میگوید تا پانزده دقیقه باید رایگان ببینید؟
برای منم گاهی اینطوری میشه اینترنت قطع و وصل کنید شاید درست شه,برای منم گاهی اینطوری می‌شود اینترنت قطع و وصل کنید شاید درست شود
نه جانم من خودم خوره اینترنت هستم‌به اینها نیست کلا فیلمها رو برداشتند,نه جانم من خودم خوره اینترنت هستم‌ به این‌ها نیست درکل فیلم ها را برداشته‌اند
برداشته شده.چن وقت پیش سریال های مثل خانه اسکناس و پیکی بلایندرز و داشت الان حذف شده.خیلی از فیلماش حذف شده,برداشته شده است. چند وقت پیش سریال هایی مثل خانه اسکناس و پیکی بلایندرز را داشت الان حذف شدهاست. خیلی از فیلم هایش حذف شده است
هست دوست من روی سایت و مشکل از اینترنت شماست,است دوست من روی سایت و مشکل از اینترنت شما است
ای پی اینترنت رو بررسی کنید و یا با پشتیبانی تماس بگیرید تا براتون پیگیری کنن,ای پی اینترنت رو بررسی کنید و یا با پشتیبانی تماس بگیرید تا براتون پیگیری کنند
@spydh9497 امکان گذاشتن این فیلم حتما بررسی میشه🙏🌺,امکان گذاشتن این فیلم حتما بررسی می‌شود
بله باید روشن کنم بعد وارد فیلمو بشم مگه ؟,بله باید روشن کنم بعد وارد فیلمو بشوم مگر؟
سلام شما میگید رایگان ولی من یک فیلم100 دقیقه ای را نگاه میکنم تقریبی بالای2 گیگ اینترنت مصرف میکنه,سلام شما میگویید رایگان ولی من یک فیلم 100 دقیقه ای را نگاه می کنم تقریبی بالای2 گیگ اینترنت مصرف می‌کند
ما کوچیکا، خدامون بزرگه... .,ما کوچیک ها، خدیمان بزرگ است.
دوست عزیز میدونم! ولی وقتی از یک پلتفرم جدیدی دارین پخش میکنین بهتره به تفکیک این دوتا پایبند باشین وبه مخاطبتپن احترام بذارین,دوست عزیز می دانم! ولی وقتی از یک پلتفرم جدیدی دارید پخش میکنید بهتر است به تفکیک این دوتا پایبند باشید وبه مخاطبتان احترام بگزارید
با توجه به توضیحی که داده شد دلیلی برای توهین به کاربران عزیزمون وجود نداره,با توجه به توضیحی که داده شد دلیلی برای توهین به کاربران عزیزمان وجود ندارد
ممنون فیلیمو جان برای دوبله ی کارنیوال رو,ممنون فیلیمو جان برای دوبله ی کارنیوال رو
این مفتخرالمملکت تاحالا کجابود اصن باید تیتراژ ستایش میدادن این میخوند خود صدا بود,این مفتخرالمملکت تاحالا کجا بود اصلا باید تیتراژ ستایش می‌دادند این می‌خواند خود صدا بود
یا رب مباد آنکه صدا معتبر شود,یا رب مباد آنکه صدا معتبر شود
چرا با ایرانسل قرارداد ندارین,چرا با ایرانسل قرارداد ندارید
برنامه ممیزی عالیه ترکیدم,برنامه ممیزی عالی است ترکیدم
برنامه ممیزی از دوستانی که اثرشون رو میخونن اجازه گرفتن,برنامه ممیزی از دوستانی که اثرشان را میخوانند اجازه گرفته اند
قراردادی که الان داریم بابت اشتراگ رایگان هست,قراردادی که الان داریم بابت اشتراگ رایگان هست
پس چرااز نتمون کم میشه,پس چرا از نتمان کم می شود
خود طرف قیافه اش هم شبیه شهابه,خود طرف قیافه اش هم شبیه شهاب است
اشتراک رایگان نه حجم رایگان داداش,اشتراک رایگان نه حجم رایگان داداش
با همراه اول هم قرارداد ببندید,با همراه اول هم قرارداد ببندید
اولش فک کردم جدیه,اولش فک کردم جدی است
